trial	 subject	 cond1	 cond2	 cue	 interval	 response	 direction	 vel	 cohNumber	 durSignal	 figure	soa	 surround	cohComparison	 v9	 v10	 tTestOnset	 tTestOffset	 tFigureOnset	 tFigureOffset	 coherence
1 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	6 	5 	1 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
2 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	6 	5 	1 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
3 	xx 	x 	x 	rdk 	2 	1 	1 	3 	6 	5 	1 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
4 	xx 	x 	x 	rdk 	1 	1 	1 	3 	6 	5 	1 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
5 	xx 	x 	x 	rdk 	2 	0 	1 	3 	6 	5 	1 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
6 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	6 	5 	1 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
7 	xx 	x 	x 	rdk 	1 	0 	1 	3 	6 	5 	1 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
8 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	6 	5 	1 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
9 	xx 	x 	x 	rdk 	2 	0 	1 	3 	6 	5 	1 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
10 	xx 	x 	x 	rdk 	1 	1 	1 	3 	6 	5 	1 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
11 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	6 	5 	1 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
12 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	6 	5 	1 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
1 	xx 	x 	x 	rdk 	2 	0 	1 	3 	6 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
2 	xx 	x 	x 	rdk 	1 	0 	1 	3 	6 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
3 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	6 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
4 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	6 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
5 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	6 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
6 	xx 	x 	x 	rdk 	2 	1 	1 	3 	6 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
7 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	6 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
8 	xx 	x 	x 	rdk 	1 	1 	1 	3 	6 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
9 	xx 	x 	x 	rdk 	2 	1 	1 	3 	6 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
10 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	6 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
11 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	6 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
12 	xx 	x 	x 	rdk 	1 	0 	1 	3 	6 	5 	3 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
1 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	6 	5 	2 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
2 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	6 	5 	2 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
3 	xx 	x 	x 	rdk 	2 	0 	1 	3 	6 	5 	2 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
4 	xx 	x 	x 	rdk 	1 	1 	1 	3 	6 	5 	2 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
5 	xx 	x 	x 	rdk 	1 	0 	1 	3 	6 	5 	2 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
6 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	6 	5 	2 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
7 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	6 	5 	2 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
8 	xx 	x 	x 	rdk 	2 	1 	1 	3 	6 	5 	2 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
9 	xx 	x 	x 	rdk 	2 	0 	1 	3 	6 	5 	2 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
10 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	6 	5 	2 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
11 	xx 	x 	x 	rdk 	1 	0 	1 	3 	6 	5 	2 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
12 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	6 	5 	2 	0 	static 	5 	0 	0 	60 	65 	60 	65 	0.12
