trial	 subject	 cond1	 cond2	 cue	 interval	 response	 direction	 vel	 cohNumber	 durSignal	 figure	soa	 surround	cohComparison	 v9	 v10	 tTestOnset	 tTestOffset	 tFigureOnset	 tFigureOffset	 coherence
1 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	35 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.7
2 	xx 	x 	x 	rdk 	1 	1 	1 	3 	26 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.52
3 	xx 	x 	x 	rdk 	2 	1 	1 	3 	23 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.46
4 	xx 	x 	x 	rdk 	2 	1 	1 	3 	38 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.76
5 	xx 	x 	x 	rdk 	1 	0 	1 	3 	23 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.46
6 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	38 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.76
7 	xx 	x 	x 	rdk 	1 	1 	1 	3 	29 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.58
8 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	23 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.46
9 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	38 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.76
10 	xx 	x 	x 	rdk 	2 	1 	1 	3 	32 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.64
11 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	23 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.46
12 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	26 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.52
13 	xx 	x 	x 	rdk 	2 	1 	1 	3 	29 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.58
14 	xx 	x 	x 	rdk 	1 	1 	1 	3 	35 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.7
15 	xx 	x 	x 	rdk 	1 	1 	1 	3 	32 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.64
16 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	32 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.64
17 	xx 	x 	x 	rdk 	2 	1 	1 	3 	35 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.7
18 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	26 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.52
19 	xx 	x 	x 	rdk 	1 	1 	1 	3 	38 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.76
20 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	29 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.58
21 	xx 	x 	x 	rdk 	2 	0 	1 	3 	26 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.52
22 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	35 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.7
23 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	29 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.58
24 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	32 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.64
25 	xx 	x 	x 	rdk 	1 	0 	1 	3 	23 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.46
26 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	23 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.46
27 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	38 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.76
28 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	29 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.58
29 	xx 	x 	x 	rdk 	2 	1 	1 	3 	23 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.46
30 	xx 	x 	x 	rdk 	2 	1 	1 	3 	32 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.64
31 	xx 	x 	x 	rdk 	2 	1 	1 	3 	26 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.52
32 	xx 	x 	x 	rdk 	2 	1 	1 	3 	38 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.76
33 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	35 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.7
34 	xx 	x 	x 	rdk 	1 	1 	1 	3 	26 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.52
35 	xx 	x 	x 	rdk 	1 	1 	1 	3 	35 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.7
36 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	23 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.46
37 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	26 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.52
38 	xx 	x 	x 	rdk 	1 	1 	1 	3 	29 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.58
39 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	35 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.7
40 	xx 	x 	x 	rdk 	1 	1 	1 	3 	38 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.76
41 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	32 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.64
42 	xx 	x 	x 	rdk 	2 	1 	1 	3 	35 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.7
43 	xx 	x 	x 	rdk 	2 	1 	1 	3 	29 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.58
44 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	29 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.58
45 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	32 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.64
46 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	38 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.76
47 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	26 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.52
48 	xx 	x 	x 	rdk 	1 	1 	1 	3 	32 	5 	3 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.64
