trial	 subject	 cond1	 cond2	 cue	 interval	 response	 direction	 vel	 cohNumber	 durSignal	 figure	soa	 surround	cohComparison	 v9	 v10	 tTestOnset	 tTestOffset	 tFigureOnset	 tFigureOffset	 coherence
1 	RM 	x 	x 	rdk 	1 	1 	1 	3 	4 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
2 	RM 	x 	x 	rdk 	1 	1 	1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
3 	RM 	x 	x 	rdk 	2 	1 	1 	3 	12 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
4 	RM 	x 	x 	rdk 	2 	0 	1 	3 	4 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
5 	RM 	x 	x 	rdk 	1 	1 	1 	3 	8 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
6 	RM 	x 	x 	rdk 	1 	1 	-1 	3 	16 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
7 	RM 	x 	x 	rdk 	1 	1 	-1 	3 	8 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
8 	RM 	x 	x 	rdk 	2 	1 	-1 	3 	20 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
9 	RM 	x 	x 	rdk 	1 	1 	-1 	3 	4 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
10 	RM 	x 	x 	rdk 	2 	1 	1 	3 	16 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
11 	RM 	x 	x 	rdk 	1 	1 	-1 	3 	20 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
12 	RM 	x 	x 	rdk 	2 	0 	1 	3 	8 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
13 	RM 	x 	x 	rdk 	2 	0 	-1 	3 	16 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
14 	RM 	x 	x 	rdk 	1 	0 	1 	3 	12 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
15 	RM 	x 	x 	rdk 	2 	1 	1 	3 	24 	5 	3 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
